age;gender;residence;religion;maritalstatus;profession;politicalorientation;sexualorientation;like1;like2;like3;community
26-35;male;Boca Raton;No religious affiliation;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
18-25;female;Boca Raton;Muslim;Single;Student;Center Right;Heterosexual;entertainment;entertainment;music artist;5
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
18-25;male;San Jose;Christian;Married;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;0
26-35;male;Boston;Christian;Married;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;male;Palo Alto;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
56-65;female;San Jose;Jewish;Married;Student;Far Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;Boca Raton;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
36-45;female;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;entertainment;entertainment;music artist;0
18-25;male;Boston;No religious affiliation;Single;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Boston;Hindu;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
18-25;male;Boston;No religious affiliation;Married;Production transportation and material moving;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
18-25;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
36-45;female;Palo Alto;Christian;Married;Student;Right;Heterosexual;entertainment;entertainment;music artist;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Left;Heterosexual;entertainment;entertainment;music artist;0
66-75;female;Boston;No religious affiliation;Married;Student;Center Left;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Boca Raton;Muslim;Divorced;Professional;Center;Heterosexual;tv show;drink brand;soccer club;5
18-25;male;Boston;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Far Left;Heterosexual;music artist;music artist;entertainment;9
26-35;female;Norfolk;No religious affiliation;Widowed;Production transportation and material moving;Center;Heterosexual;entertainment;entertainment;music artist;0
46-55;male;San Jose;Hindu;Widowed;Natural resources construction and maintenance;Left;Heterosexual;entertainment;entertainment;music artist;9
76-85;female;San Jose;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;Norfolk;Hindu;Single;Service;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;male;Palo Alto;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;entertainment;5
26-35;male;San Jose;Christian;Married;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
76-85;female;San Jose;Muslim;Single;Professional;Right;Homosexual;entertainment;entertainment;music artist;5
56-65;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;San Jose;No religious affiliation;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;female;Palo Alto;Hindu;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;male;San Jose;Hindu;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Student;Right;Heterosexual;drink brand;drink brand;entertainment;1
18-25;female;Boca Raton;Christian;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;8
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;music artist;music artist;entertainment;4
66-75;male;Palo Alto;Christian;Married;Professional;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
66-75;male;Norfolk;No religious affiliation;Married;Professional;Center Right;Heterosexual;tv show;drink brand;soccer club;1
18-25;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Boca Raton;Christian;Single;Natural resources construction and maintenance;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Muslim;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Boca Raton;Christian;Single;Sales and office;Left;Heterosexual;music artist;music artist;entertainment;1
26-35;male;San Jose;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
18-25;female;San Jose;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
46-55;male;Santa Barbara;Christian;Married;Student;Left;Heterosexual;drink brand;drink brand;entertainment;3
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
46-55;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;female;Boca Raton;Jewish;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;6
76-85;female;Norfolk;Jewish;Married;Production transportation and material moving;Left;Heterosexual;tv show;drink brand;soccer club;4
26-35;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
56-65;male;Boston;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
46-55;male;Boston;Muslim;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
36-45;female;San Jose;No religious affiliation;Divorced;Student;Far Left;Heterosexual;entertainment;entertainment;music artist;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;male;San Jose;Christian;Married;Production transportation and material moving;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Boston;Buddhist;Married;Sales and office;Center Left;Heterosexual;music artist;music artist;entertainment;0
26-35;female;Boston;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
46-55;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Service;Center Left;Heterosexual;tv show;drink brand;soccer club;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;male;Palo Alto;Christian;Divorced;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;entertainment;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;5
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
18-25;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
76-85;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;male;Palo Alto;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Service;Left;Heterosexual;drink brand;drink brand;entertainment;1
66-75;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;male;Palo Alto;Buddhist;Divorced;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;San Jose;Muslim;Married;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
66-75;female;Norfolk;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;male;San Jose;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
36-45;male;Palo Alto;Christian;Single;Student;Far Left;Heterosexual;drink brand;drink brand;entertainment;1
76-85;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;music artist;music artist;entertainment;1
26-35;female;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;male;Norfolk;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;San Jose;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
56-65;female;Boca Raton;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;male;Norfolk;Christian;Widowed;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;female;San Jose;Christian;Single;Student;Left;Homosexual;drink brand;drink brand;entertainment;1
26-35;male;Palo Alto;Christian;Married;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Palo Alto;Christian;Married;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Palo Alto;Christian;Married;Natural resources construction and maintenance;Center;Heterosexual;drink brand;drink brand;entertainment;1
46-55;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
26-35;female;Boca Raton;Christian;Single;Professional;Right;Heterosexual;entertainment;entertainment;music artist;8
66-75;female;San Jose;Other Religions;Single;Production transportation and material moving;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
36-45;male;Boston;Buddhist;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
46-55;female;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
26-35;male;Boston;No religious affiliation;Widowed;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
36-45;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;drink brand;drink brand;entertainment;3
18-25;female;Norfolk;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
76-85;male;Boston;Hindu;Single;Service;Center;Heterosexual;entertainment;entertainment;music artist;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
26-35;male;Boston;No religious affiliation;Married;Manager;Center Left;Heterosexual;tv show;drink brand;soccer club;0
46-55;male;Boston;Christian;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Santa Barbara;No religious affiliation;Married;Sales and office;Left;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Single;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
36-45;male;Boston;No religious affiliation;Divorced;Natural resources construction and maintenance;Center Left;Heterosexual;entertainment;entertainment;music artist;0
26-35;male;Boston;No religious affiliation;Divorced;Sales and office;Center;Heterosexual;entertainment;entertainment;music artist;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
76-85;male;San Jose;Jewish;Married;Production transportation and material moving;Left;Heterosexual;tv show;drink brand;soccer club;4
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
18-25;male;Boston;No religious affiliation;Married;Professional;Center Left;Heterosexual;music artist;music artist;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;music artist;music artist;entertainment;0
36-45;male;Boston;Other Religions;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;0
18-25;male;Boca Raton;Muslim;Single;Professional;Left;Homosexual;music artist;music artist;entertainment;1
26-35;male;Boston;No religious affiliation;Married;Natural resources construction and maintenance;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;San Jose;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
46-55;male;Boston;No religious affiliation;Single;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Service;Right;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;San Jose;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
66-75;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
26-35;female;Boca Raton;Christian;Married;Professional;Left;Heterosexual;entertainment;entertainment;music artist;8
18-25;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;female;Boca Raton;Christian;Married;Professional;Center;Heterosexual;entertainment;entertainment;music artist;8
26-35;male;Palo Alto;Christian;Divorced;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;music artist;music artist;entertainment;4
18-25;male;Palo Alto;Christian;Single;Professional;Left;Heterosexual;entertainment;entertainment;music artist;1
18-25;male;Boca Raton;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
76-85;female;San Jose;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;entertainment;entertainment;music artist;4
76-85;male;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;tv show;drink brand;soccer club;4
18-25;male;Palo Alto;Christian;Single;Natural resources construction and maintenance;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;San Jose;Christian;Single;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;1
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;female;San Jose;Christian;Single;Student;Center;Heterosexual;music artist;music artist;entertainment;8
18-25;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Married;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
46-55;male;Santa Barbara;Muslim;Widowed;Natural resources construction and maintenance;Center Left;Heterosexual;tv show;drink brand;soccer club;9
18-25;female;Palo Alto;Christian;Single;Natural resources construction and maintenance;Center;Heterosexual;entertainment;entertainment;music artist;1
26-35;male;San Jose;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;San Jose;Hindu;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;San Jose;Muslim;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Boston;Christian;Married;Sales and office;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Palo Alto;Christian;Widowed;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
56-65;female;Boca Raton;Jewish;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
26-35;male;San Jose;Hindu;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
36-45;male;Boston;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Palo Alto;Christian;Single;Student;Center;Heterosexual;music artist;music artist;entertainment;1
18-25;female;Boca Raton;Jewish;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;6
36-45;male;Santa Barbara;Christian;Divorced;Sales and office;Left;Heterosexual;drink brand;drink brand;entertainment;0
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;San Jose;No religious affiliation;Married;Sales and office;Center;Heterosexual;entertainment;entertainment;music artist;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
56-65;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
46-55;male;Santa Barbara;Hindu;Divorced;Natural resources construction and maintenance;Center Right;Heterosexual;drink brand;drink brand;entertainment;3
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;music artist;music artist;entertainment;6
26-35;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;entertainment;0
26-35;female;Boca Raton;Jewish;Divorced;Professional;Center;Heterosexual;entertainment;entertainment;music artist;6
18-25;female;Norfolk;No religious affiliation;Divorced;Sales and office;Far Left;Heterosexual;music artist;music artist;entertainment;0
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;music artist;music artist;entertainment;0
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
46-55;male;Boston;No religious affiliation;Married;Sales and office;Left;Heterosexual;drink brand;drink brand;entertainment;0
46-55;male;Boston;No religious affiliation;Divorced;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
36-45;female;Boston;Muslim;Married;Manager;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
66-75;male;Boston;No religious affiliation;Married;Natural resources construction and maintenance;Left;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Boston;No religious affiliation;Married;Service;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
26-35;female;Boca Raton;Jewish;Single;Professional;Left;Heterosexual;music artist;music artist;entertainment;6
46-55;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;music artist;music artist;entertainment;0
66-75;male;Santa Barbara;Hindu;Widowed;Natural resources construction and maintenance;Center Right;Heterosexual;tv show;drink brand;soccer club;3
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
26-35;female;Boca Raton;Jewish;Single;Professional;Center Right;Heterosexual;music artist;music artist;entertainment;6
26-35;male;San Jose;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
56-65;male;Boston;Muslim;Married;Sales and office;Center;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boca Raton;Christian;Single;Professional;Center;Heterosexual;music artist;music artist;entertainment;8
46-55;male;San Jose;Christian;Single;Natural resources construction and maintenance;Center;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Boca Raton;Christian;Single;Natural resources construction and maintenance;Right;Heterosexual;entertainment;entertainment;music artist;8
66-75;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;music artist;music artist;entertainment;4
76-85;male;Santa Barbara;Jewish;Single;Production transportation and material moving;Right;Heterosexual;entertainment;entertainment;music artist;4
76-85;male;Palo Alto;Jewish;Single;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;male;Boca Raton;Christian;Single;Professional;Left;Heterosexual;tv show;drink brand;soccer club;8
18-25;female;Norfolk;Other Religions;Married;Production transportation and material moving;Center;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;Boca Raton;Christian;Married;Professional;Center Right;Heterosexual;music artist;music artist;entertainment;8
18-25;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;San Jose;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
76-85;female;Norfolk;Jewish;Married;Production transportation and material moving;Far Left;Heterosexual;entertainment;entertainment;music artist;4
26-35;female;Boca Raton;No religious affiliation;Married;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;8
26-35;male;Palo Alto;Christian;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
46-55;male;San Jose;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;San Jose;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;San Jose;Christian;Single;Student;Far Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Muslim;Single;Student;Center Left;Heterosexual;drink brand;drink brand;entertainment;1
56-65;male;San Jose;Christian;Married;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
66-75;female;San Jose;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
56-65;female;Palo Alto;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
76-85;female;San Jose;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
46-55;male;San Jose;Jewish;Married;Production transportation and material moving;Left;Heterosexual;entertainment;entertainment;music artist;4
18-25;male;Palo Alto;Christian;Divorced;Service;Center;Heterosexual;music artist;music artist;entertainment;1
26-35;male;Palo Alto;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Boston;Christian;Single;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
18-25;female;Boston;Christian;Married;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;female;Norfolk;Buddhist;Divorced;Manager;Left;Bisexual;entertainment;entertainment;music artist;2
26-35;male;San Jose;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
18-25;male;Palo Alto;Christian;Single;Student;Right;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;San Jose;Christian;Single;Student;Left;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
26-35;male;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;tv show;drink brand;soccer club;0
46-55;male;Santa Barbara;Christian;Widowed;Production transportation and material moving;Center;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Boca Raton;Muslim;Single;Professional;Center Right;Heterosexual;entertainment;entertainment;music artist;5
56-65;male;Boston;Christian;Married;Student;Left;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;tv show;drink brand;soccer club;0
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
46-55;male;Boston;Buddhist;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
18-25;female;Boca Raton;Muslim;Single;Sales and office;Center Right;Heterosexual;entertainment;entertainment;music artist;5
18-25;male;Palo Alto;Hindu;Single;Student;Center;Homosexual;drink brand;drink brand;entertainment;1
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Left;Heterosexual;music artist;music artist;entertainment;5
26-35;female;Boca Raton;Other Religions;Single;Student;Center;Heterosexual;entertainment;entertainment;music artist;5
18-25;female;Boca Raton;Muslim;Single;Professional;Center;Heterosexual;entertainment;entertainment;music artist;5
26-35;male;Boston;No religious affiliation;Married;Manager;Center Left;Heterosexual;tv show;drink brand;soccer club;0
18-25;female;Santa Barbara;Muslim;Single;Professional;Right;Heterosexual;music artist;music artist;entertainment;5
36-45;male;Boston;No religious affiliation;Married;Sales and office;Center Left;Heterosexual;drink brand;drink brand;entertainment;0
36-45;male;Boston;Muslim;Married;Professional;Center;Heterosexual;drink brand;drink brand;entertainment;0
46-55;female;Boston;No religious affiliation;Widowed;Sales and office;Left;Heterosexual;tv show;drink brand;soccer club;0
18-25;male;Norfolk;Muslim;Divorced;Student;Center;Heterosexual;drink brand;drink brand;entertainment;1
26-35;male;Boston;No religious affiliation;Married;Sales and office;Left;Heterosexual;drink brand;drink brand;entertainment;0
46-55;male;Norfolk;Muslim;Single;Sales and office;Center;Heterosexual;tv show;drink brand;soccer club;0
76-85;female;Boston;No religious affiliation;Married;Sales and office;Center Right;Heterosexual;drink brand;drink brand;entertainment;0
